# Glaciological.Mass.Balance,,,,,,,,,,,,,,,,,,
# ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.).,,,,,,,,,,,,,,,,,,
# INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS.,,,,,,,,,,,,,,,,,,
"# When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns.",,,,,,,,,,,,,,,,,,
"# WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01",,,,,,,,,,,,,,,,,,
# Note that this file contains only a minimal set of data fields.,,,,,,,,,,,,,,,,,,
# Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf).,,,,,,,,,,,,,,,,,,
# Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch).,,,,,,,,,,,,,,,,,,
PU,NAME,WGMS_ID,LATITUDE,LONGITUDE,GEOREG1,GEOREG2,REFERENCE_YEAR,SURVEY_YEAR,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,ELA,AAR,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS,GLACIER_REGION_CODE
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1945,1946,NA,NA,-580,,NA,,,"Data from Cogley (2008, updated 2013) based on: Stockholm University (2006); Mass Balance Data Webpage.",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1949,1950,NA,NA,-1350,,NA,,,"Data from Cogley (2008, updated 2013) based on: Stockholm University (2006); Mass Balance Data Webpage.",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1981,1982,1066,-1132,-70,1325,56,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1982,1983,1300,-1410,-110,1342,52,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1983,1984,940,-1470,-530,1483,30,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",Seasonal data provided by Atsumu Ohmura.,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1984,1985,685,-1960,-1280,1840,3.2,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1985,1986,1280,-1468,-188,1385,45,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1986,1987,1164,-941,223,1335,59,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1987,1988,1075,-2127,-1052,1540,11,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1988,1989,1780,-1165,618,1278,74,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1989,1990,1689,-1727,-40,1378,47,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1990,1991,1508,-1710,-216,1370,48,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1991,1992,1650,-1540,110,1283,71,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
SE,RABOTS GLACIAER,334,67.91,18.5,Scandinavia,"Scandinavia, North",1992,1993,1860,-1350,510,1347,57,,,"Data from Dyurgerov, M.(2002): [5, 6, 69, 75a] For detailed reference information consult Dyurgerov's Appendix 1!",,SCA
